taylor_n,count,b_RMSE,cel_RMSE,cea_RMSE,cpa_RMSE,μl_RMSE,μa_RMSE
1,100,4.392870059398833,0.009289491600966931,0.009918306349476234,0.0010006274650493458,5.057306561942087e-17,9.748882615055091e-5
3,100,4.176706196199049,0.007416361486230937,0.008884177735357192,3.951232793783217e-5,5.33167196845001e-17,8.628473405226217e-6
5,100,3.8643235018439,0.005667401816361095,0.007858726530377823,4.2376343785286e-7,5.42477737333404e-17,1.3783330961832836e-7
6,1,7.807653624939764,0.16810992453191836,0.2955024860331039,1.6412120137747344e-8,0.0,7.777348102339099e-9
7,100,3.4955328029351542,0.004067088527439487,0.006806661907182584,2.425107862525556e-9,5.302695275805847e-17,1.0284785232905497e-9
8,8,7.710882118552236,0.12172214544121673,0.1864602699673918,2.1783850815599684e-10,5.003707553108401e-17,9.716731720841191e-11
9,100,3.0486224306394503,0.0026739919107955385,0.005671957943530026,8.851665591044376e-12,5.551115123125783e-17,4.57746911725525e-12
10,12,7.559660485450484,0.0712986362475364,0.10569259762306614,0.03866825268746557,5.25404566686952e-17,0.0064057064990126495
11,100,2.492622298002839,0.0015560502121722344,0.004399295086295208,2.241814146479687e-14,5.214799211354908e-17,1.3575098686073324e-14
12,27,5.5074022875133855,0.02275427598318366,0.03931084159006802,0.025452264937527124,4.625929269271486e-17,0.004315140816320443
13,100,1.8262518927453597,0.000756721529017693,0.0030253831055101106,4.161192232192865e-17,5.17029086494124e-17,7.747322431893524e-17
14,61,5.669819200887904,0.4393610590683456,0.6255469023408187,2.4726730993423697e-18,5.075752120024595e-17,7.267381243868445e-17
15,100,1.1330084882620124,0.00027284087255841354,0.0017425913167456448,1.308969276094197e-18,5.2735593669694933e-17,7.100610130583336e-17
