taylor_n,interval_range,count,b_RMSE,cel_RMSE,cea_RMSE,cpa_RMSE,μl_RMSE,μa_RMSE
1,0.05,20,4.122112678805658,0.009757570283781975,0.007852918523718456,0.0008451886415889482,0.1977772226983727,0.19786497075190204
3,0.05,20,3.8957372077639105,0.008575520011766341,0.005908217626356815,2.4972378578351364e-5,0.1960790020574739,0.19608511755825103
5,0.05,20,3.5637064044209863,0.007578015859412921,0.0042925074561336474,1.9027903666657962e-7,0.1980965205799322,0.19809658859321186
7,0.05,20,3.1083715001651426,0.006539422247709298,0.002421680910669071,7.077580935291482e-10,0.19627044898343873,0.19627044932004595
1,0.1,20,3.991068361500986,0.009258943102124231,0.007425818521919763,0.0007832995524315843,0.19803084456886091,0.19810428942386898
3,0.1,20,3.7071156465814235,0.008034588439265796,0.005578015270765203,2.4205622749178586e-5,0.2000440146079342,0.2000495702812441
5,0.1,20,3.2681059092362164,0.006918191855708489,0.003717376354038865,1.7818953525723005e-7,0.19425719244755232,0.1942572498794279
7,0.1,20,2.917095843130365,0.005430255599311702,0.0025361832323399533,6.131517713936043e-10,0.20043361496526554,0.20043361519289918
1,0.2,20,3.6873076083559235,0.0074234411123010585,0.006527057607263913,0.0007400509086342065,0.20111204917758013,0.20119120986009625
3,0.2,20,3.2142694497689064,0.007277641313363827,0.004820807448403053,1.611536079256664e-5,0.2023531016604088,0.2023562044012172
5,0.2,20,2.725085173106952,0.006124226542610089,0.003356947231211826,1.2855111668128773e-7,0.1944139684734201,0.19441400054325608
7,0.2,20,2.5249349561867427,0.0040139194240566166,0.002660404962016126,6.738948324691329e-10,0.19530335636548554,0.19530335654132222
1,0.25,20,3.497513886310859,0.008091439942686877,0.005254351387983456,0.0005817235799096545,0.1959538298345084,0.1960024136838494
3,0.25,20,3.2067291885841884,0.00702637821296278,0.003910176640828116,2.2184192354272172e-5,0.19011192889423045,0.19011472024227286
5,0.25,20,2.7515952213990187,0.005545367967852524,0.003260854785971598,1.9746283105321828e-7,0.20949919520999302,0.20949922543401853
7,0.25,20,2.2169330110395595,0.004775888510915214,0.002594035457121395,1.520796225771899e-9,0.19332416020920062,0.19332416050577547
1,0.5,20,2.71907606950447,0.009756246790701468,0.006367298978232965,0.00038704582854694983,0.19861930400812713,0.19864851465672517
3,0.5,20,1.8856935196300082,0.005474155040778963,0.004669782534631482,2.3887470825330394e-5,0.1852190542719387,0.18521967177618784
5,0.5,20,1.5525860354205074,0.004664871854060728,0.005369136381679538,9.385797719478462e-8,0.2036412603672259,0.20364126813110367
7,0.5,20,0.7950158481639015,0.0056239753331713375,0.004803867568290095,3.683897943406008e-10,0.22558411283911986,0.22558411284996255
